"current I (A)","magnetic field (B) [T]"
-2.519346,0.5345
-2.4200357500000003,0.512
-2.3197975,0.49
-2.2207395,0.46725
-2.12028075,0.446
-2.0203015,0.4245
-1.9209019999999999,0.40249999999999997
-1.8222512499999999,0.3807499999999999
-1.7227327499999998,0.3585
-1.623095,0.33625
-1.5233295,0.31399999999999995
-1.4233065,0.2915
-1.32355325,0.2695
-1.2242725,0.247
-1.124920825,0.22452499999999997
-1.0246028249999999,0.20169999999999996
-0.925479,0.17932499999999998
-0.8254505249999999,0.157125
-0.7257879,0.13485
-0.6267315249999998,0.11315
-0.527165675,0.090925
-0.42770965000000005,0.068475
-0.32751785,0.0459675
-0.2276497025,0.0241825
-0.13130461575,0.003957499999999999
-0.05410919075,-0.013142500000000001
0.010259206749999998,-0.02951
0.07644395925,-0.044775
0.1443972225,-0.061424999999999993
0.23184337249999998,-0.080675
0.33228087500000003,-0.1008
0.43135205,-0.122725
0.5315064,-0.14500000000000002
0.63165805,-0.168
0.731672075,-0.19025
0.831541375,-0.21275
0.9322379999999999,-0.23475000000000001
1.032144025,-0.2565
1.13228075,-0.27875
1.2316799999999999,-0.30075
1.3303605,-0.32299999999999995
1.4300125,-0.345
1.5293804999999998,-0.367
1.6286815000000001,-0.38949999999999996
1.728018,-0.41225
1.8268144999999998,-0.43425
1.92638825,-0.4565
2.026956,-0.47775
2.126966,-0.4995
2.22605375,-0.522
2.325665,-0.5445
2.42454925,-0.56775
2.52415,-0.5895
2.625028,-0.6115
2.724934,-0.6335
2.8253735,-0.65525
2.92598875,-0.67775
3.0261032500000002,-0.6997499999999999
3.1258945000000002,-0.7217499999999999
3.2258422500000004,-0.74375
3.32552175,-0.7655000000000001
3.42465575,-0.78925
3.5231857499999997,-0.81125
3.6224030000000003,-0.83325
3.72030925,-0.8552500000000001
3.8181302500000003,-0.87575
3.91711575,-0.8975000000000001
4.01679375,-0.91925
4.117591249999999,-0.9412499999999999
4.21937375,-0.963
4.32035725,-0.9849999999999999
4.41864675,-1.0070000000000001
4.51639975,-1.02925
4.6145862499999994,-1.051
4.71162975,-1.0735000000000001
4.811297,-1.0955
4.9112860000000005,-1.117
5.01119275,-1.13875
5.1121565,-1.1600000000000001
5.2110615,-1.181
5.310297,-1.20225
5.409922,-1.2237500000000001
5.5075985,-1.245
5.60837075,-1.26675
5.707480499999999,-1.2894999999999999
5.782518,-1.30575
5.85869675,-1.32225
5.9080455,-1.33275
5.95909,-1.343
6.0090075,-1.35325
6.05891475,-1.3635
6.1095992500000005,-1.374
6.1595265,-1.38375
6.20935025,-1.3940000000000001
6.258951249999999,-1.4042500000000002
6.308530499999999,-1.41425
6.35840975,-1.4235
6.407661,-1.4332500000000001
6.457445,-1.44175
6.505984,-1.4509999999999998
6.555228750000001,-1.45925
6.6049615,-1.4682499999999998
6.6546544999999995,-1.4772500000000002
6.7049294999999995,-1.48575
6.755288999999999,-1.4955
6.8057929999999995,-1.5037500000000001
6.85648125,-1.51225
6.9070355,-1.52075
6.9560075,-1.5285
7.005647,-1.5365
7.055006,-1.544
7.105484,-1.55125
7.15450525,-1.5575
7.20381875,-1.56575
7.2541005,-1.5735
7.3033975,-1.58125
7.354203,-1.59025
7.404438,-1.597
7.453692,-1.6039999999999999
7.50391625,-1.6110000000000002
7.552235,-1.6165
7.600852,-1.624
7.650681499999999,-1.63075
